========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430b
Licensed to:				 Erin Heerey
Export date/time:			01/05/2017 10:38:10
Number of frames:			8609

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	0	0	22.34343	-6.61323	-109.01564	-22.80684	-10.77613	-6.66853	0.46029	9.30907	2.76427	-0.72510	-8.40885	6.13339	0.01193	11.89250	4.81327	3.20917	20.56339	10.86620	45.50382	10.47946	10.38057	5.00808	8.39296	0.40072	0.32355	31.09984	55.41015	1.23479	3.16536	7.88518	0.00000	23.30375	
0.03333	0	0	22.34343	-6.61323	-109.01564	-22.80684	-10.77613	-6.66853	0.46029	9.30907	2.76427	-0.72510	-8.40885	6.13339	0.01193	11.89250	4.81327	3.20917	20.56339	10.86620	45.50382	10.47946	10.38057	5.00808	8.39296	0.40072	0.32355	31.09984	55.41015	1.23479	3.16536	7.88518	0.00000	23.30375	
0.06667	0	0	22.34343	-6.61323	-109.01564	-22.80684	-10.77613	-6.66853	0.46029	9.30907	2.76427	-0.72510	-8.40885	6.13339	0.01193	11.89250	4.81327	3.20917	20.56339	10.86620	45.50382	10.47946	10.38057	5.00808	8.39296	0.40072	0.32355	31.09984	55.41015	1.23479	3.16536	7.88518	0.00000	23.30375	
0.10000	1	0	22.34343	-6.61323	-109.01564	-22.80684	-10.77613	-6.66853	0.46029	9.30907	2.76427	-0.72510	-8.40885	6.13339	0.01193	11.89250	4.81327	3.20917	20.56339	10.86620	45.50382	10.47946	10.38057	5.00808	8.39296	0.40072	0.32355	31.09984	55.41015	1.23479	3.16536	7.88518	0.00000	23.30375	
0.13333	1	0	22.34775	-6.61323	-109.02852	-22.81324	-10.77664	-6.69308	0.47277	9.27359	2.83932	-0.71616	-8.19930	6.07993	0.01193	10.51780	6.06345	2.62483	26.86374	15.91096	45.84747	10.56388	13.19483	7.26866	6.06367	2.12441	1.95240	36.81581	61.57744	1.25560	3.52538	8.94961	0.00000	28.23351	
0.16667	1	0	22.35349	-6.61323	-109.04201	-22.82037	-10.77721	-6.72196	0.48079	9.23378	2.92568	-0.68384	-7.92282	5.95543	0.01193	8.33689	8.13884	2.02058	31.57595	20.21177	47.66926	11.25166	20.44513	11.76134	4.21301	1.15784	1.09603	42.74529	66.12673	1.78608	6.64193	11.83778	0.00000	31.28500	
0.20000	1	0	22.35912	-6.61323	-109.05141	-22.82595	-10.77714	-6.74640	0.49025	9.19321	3.00323	-0.68899	-7.55091	5.96454	0.01193	8.58137	9.66098	1.58032	33.66073	20.48663	48.73466	11.56314	27.01862	11.24184	3.80848	2.81857	2.72392	45.54044	70.23438	1.90101	6.45331	12.08623	0.00000	32.58031	
0.23333	1	0	22.36468	-6.61323	-109.05736	-22.83032	-10.77708	-6.76773	0.49833	9.14690	3.07785	-0.69972	-7.21735	5.97315	0.01018	9.25668	9.78185	1.24273	33.92762	19.55378	49.34659	12.14277	30.87170	12.64952	3.27780	1.82718	1.77089	48.66719	71.99945	1.73206	5.75654	12.59190	0.00000	32.30985	
0.26667	1	0	22.37014	-6.61323	-109.05795	-22.83431	-10.77698	-6.78556	0.50795	9.10090	3.14169	-0.72661	-6.97481	5.95434	0.00843	9.73228	8.18785	0.98874	36.44765	21.69537	49.15997	11.56717	29.61863	13.33686	3.62254	1.69702	1.63841	51.15942	72.65522	1.77400	5.45907	13.39724	0.00000	31.50610	
0.30000	1	0	22.37549	-6.61323	-109.05785	-22.83826	-10.77678	-6.80044	0.51496	9.06197	3.19469	-0.75681	-6.69842	5.93708	0.00677	10.85933	6.91420	0.79206	38.75934	21.91314	48.66721	11.17295	26.17165	10.27773	3.48651	1.23374	1.36250	50.82911	72.23530	1.75672	5.09528	13.17414	0.00000	30.18785	
0.33333	1	0	22.38071	-6.61505	-109.05725	-22.84213	-10.77636	-6.81305	0.52062	9.03127	3.23575	-0.75415	-6.38786	5.98432	0.00560	11.25953	8.66785	0.63737	37.83547	20.76250	48.96412	11.24759	26.26407	7.59843	3.58898	1.72799	1.89391	47.76347	71.83164	1.90231	5.18875	12.38914	0.00000	28.48497	
0.36667	1	0	22.38569	-6.61734	-109.05631	-22.84563	-10.77560	-6.82390	0.52684	9.00309	3.27066	-0.73922	-6.18269	5.98340	-0.10721	10.78068	9.46336	0.51610	34.87096	16.58516	49.27102	11.33603	27.11907	8.86634	2.73621	3.20246	3.04174	44.96417	69.95136	1.70635	4.79311	12.31392	0.00000	26.83723	
0.40000	1	0	22.39046	-6.61968	-109.05213	-22.84919	-10.77085	-6.83206	0.52962	8.96528	3.31077	-0.76318	-6.05596	5.87318	1.24494	11.42687	7.30135	0.41908	34.12600	17.65892	49.69378	11.44536	24.13523	9.41350	3.28737	4.32188	3.62217	45.21203	70.57765	1.77847	6.14297	13.12297	0.00000	27.59230	
0.43333	1	0	22.39500	-6.62206	-109.04703	-22.85273	-10.76578	-6.83922	0.53467	8.93632	3.33722	-0.78312	-5.97143	5.82897	1.34905	10.91202	5.45044	0.34128	29.77807	16.60466	49.38246	11.59088	22.47133	9.07364	2.54076	3.88819	3.98457	45.65338	71.19530	2.03994	7.82532	13.34069	0.00000	27.19359	
0.46667	1	0	22.39930	-6.62446	-109.04130	-22.85627	-10.76066	-6.84571	0.53969	8.92166	3.35282	-0.74957	-5.94224	5.77566	1.05027	11.46481	4.19362	0.27926	28.69575	13.00480	50.74893	11.65862	24.47658	12.68826	3.43763	4.52659	4.14064	45.44021	70.82621	2.24930	8.50806	13.81111	0.00000	26.16088	
0.50000	1	0	22.40338	-6.62712	-109.03513	-22.85908	-10.75551	-6.85183	0.54220	8.90573	3.36271	-0.75858	-5.90589	5.70103	1.10448	12.38315	3.13435	0.22908	27.38002	11.55909	51.52881	11.72138	26.96584	12.76440	3.68937	2.51224	2.18929	43.41314	69.65181	2.63679	11.05691	14.65274	0.00000	24.76520	
0.53333	1	0	22.40735	-6.62986	-109.02853	-22.86171	-10.75029	-6.85768	0.54793	8.88675	3.37706	-0.80026	-5.78219	5.79544	0.98457	13.52845	3.06066	0.18766	31.41334	14.22484	50.83871	11.56756	27.97910	12.72307	3.93154	2.11684	1.93279	37.88999	67.49699	2.83461	11.96356	13.65493	0.00000	23.11943	
0.56667	1	0	22.41112	-6.63262	-109.02174	-22.86373	-10.74516	-6.86313	0.56242	8.87739	3.37768	-0.78622	-5.72007	5.91520	0.63899	14.04067	3.36016	0.15421	32.64597	13.86914	50.02641	11.37552	27.83884	12.19745	4.86862	2.08458	1.84624	34.23247	66.27306	2.76215	11.87482	13.23584	0.00000	22.04346	
0.60000	1	0	22.41471	-6.63539	-109.01491	-22.86522	-10.74002	-6.86761	0.57787	8.87686	3.36751	-0.65694	-5.74455	5.95584	2.44834	15.64036	2.60010	0.12751	29.73573	12.13700	49.25460	11.13826	26.08046	15.55109	5.22196	1.82251	1.65203	31.67069	62.27641	3.05822	14.44285	13.55371	0.00000	17.91321	
0.63333	1	0	22.41825	-6.63818	-109.00790	-22.86655	-10.73466	-6.87145	0.58502	8.87767	3.34814	-0.50212	-5.64412	6.10166	2.83484	16.02094	3.81032	0.10478	29.55784	11.56345	48.99384	10.92272	27.94971	17.52614	5.05412	1.53544	1.48490	24.02650	56.16094	3.24847	15.67364	14.49013	0.00000	14.72084	
0.66667	1	0	22.42170	-6.64087	-109.00089	-22.86774	-10.72928	-6.87488	0.58708	8.87854	3.32449	-0.34902	-5.56091	6.21031	2.20293	16.19199	4.61004	0.08640	30.22273	11.89555	48.55513	10.81423	29.55063	18.34385	7.24670	2.02564	1.95543	20.17924	53.31804	3.06513	14.97370	16.04554	0.00000	13.50946	
0.70000	1	0	22.42488	-6.64355	-108.99454	-22.86875	-10.72440	-6.87795	0.59106	8.87948	3.30319	-0.20967	-5.51081	6.28139	1.77097	16.32423	4.98420	0.07135	30.49390	12.17719	48.20714	10.76834	29.85690	18.68821	8.43273	2.22858	2.20504	18.64478	51.93177	2.88699	14.51865	17.40165	0.00000	12.98822	
0.73333	1	0	22.42801	-6.64623	-108.98792	-22.86965	-10.71947	-6.88115	0.59366	8.88045	3.28470	-0.08968	-5.45464	6.35963	1.39635	18.51840	4.06905	0.05889	28.96948	11.01500	46.66294	10.35510	31.62167	20.80424	11.84052	4.24685	3.29260	19.26542	51.81552	2.57433	11.67595	17.35111	0.00000	13.07144	
0.76667	1	0	22.43118	-6.64897	-108.98138	-22.87043	-10.71455	-6.88392	0.59299	8.88146	3.26836	0.03499	-5.40650	6.47938	2.10543	21.97540	3.02514	0.04869	28.67282	10.78613	45.04610	9.91936	30.78328	19.57802	10.16509	6.17555	4.69168	20.15752	52.42811	2.29104	9.41678	17.43486	0.00000	12.42044	
0.80000	1	0	22.43421	-6.65163	-108.97510	-22.86900	-10.70948	-6.88646	0.59127	8.88249	3.25637	0.16267	-5.55247	6.57075	1.91784	22.02172	3.28097	0.04022	27.40720	10.25017	43.04288	9.40306	29.22264	22.98420	9.10518	4.36009	3.52798	21.47066	52.61800	2.28848	9.38600	18.04468	0.00000	12.89832	
0.83333	1	0	22.43720	-6.65426	-108.96911	-22.86703	-10.70450	-6.88725	0.58926	8.88353	3.24290	0.25763	-5.70485	6.72434	1.66235	21.57099	2.76863	0.03327	25.63786	9.22666	42.60429	9.17458	30.47001	23.79744	9.70101	3.49463	3.11300	21.19700	52.66499	2.69826	11.95316	18.21090	0.00000	12.22996	
0.86667	1	0	22.44005	-6.65687	-108.96339	-22.86500	-10.69947	-6.88551	0.58770	8.88516	3.23482	0.33247	-5.88583	6.85837	2.43244	21.74571	2.10586	0.02752	25.47124	9.10751	42.16159	8.82737	31.81339	24.15592	10.13917	4.69923	3.95710	21.33715	53.53329	2.84488	13.64083	18.16204	0.00000	12.30136	
0.90000	1	0	22.44278	-6.65934	-108.95795	-22.86295	-10.69426	-6.88341	0.58828	8.90148	3.22243	0.47364	-6.34240	6.95249	2.19361	20.50812	2.03723	0.02276	23.53548	8.23878	41.88800	8.61108	30.00080	23.33615	10.80769	5.85480	4.13765	21.84134	54.92044	2.73929	13.37302	18.06365	0.00000	12.55658	
0.93333	1	0	22.44547	-6.66170	-108.95280	-22.86091	-10.68886	-6.88101	0.58164	8.91275	3.20731	0.59268	-6.82107	7.01307	1.73503	14.78159	3.30107	-0.09425	23.46627	8.49951	41.54320	8.42977	30.56181	22.69045	14.44424	3.00323	2.17245	22.59453	58.54292	2.64184	12.79890	18.08501	0.00000	13.04262	
0.96667	1	0	22.44814	-6.66403	-108.94796	-22.85877	-10.68321	-6.87831	0.57171	8.92805	3.19453	0.72433	-7.36951	6.97973	1.39810	9.48602	5.62527	1.33883	23.26526	8.20391	41.56464	8.25913	30.02543	22.13245	17.75972	2.43047	2.15640	23.87183	62.24208	2.48894	11.79923	18.41202	0.00000	13.64777	
1.00000	1	0	22.45066	-6.66633	-108.94343	-22.85624	-10.67740	-6.87534	0.57276	8.94512	3.18468	0.86590	-7.96919	7.02651	1.13201	6.32799	6.34860	1.39982	21.45533	7.74298	42.05241	8.23902	26.53377	15.85824	9.59445	1.20087	1.15198	22.19090	62.96735	2.86010	15.81862	18.71634	0.00000	12.37234	
1.03333	1	0	22.45296	-6.66851	-108.93918	-22.85365	-10.67153	-6.87225	0.56972	8.95418	3.17509	0.98381	-8.44368	7.04754	0.91987	4.30383	7.47181	1.47351	22.66844	8.21222	44.18571	8.39904	32.36713	23.29691	7.70497	1.91252	1.86580	21.43501	65.51500	4.32463	28.77285	19.22713	0.00000	13.48242	
1.06667	1	0	22.45522	-6.67050	-108.93526	-22.85097	-10.66569	-6.86912	0.56617	8.96876	3.16764	1.11643	-8.94082	7.10239	0.75064	3.62805	8.80347	1.27812	20.26737	7.36335	42.10550	8.08622	27.22620	26.77129	8.93381	3.47923	2.69137	23.55676	64.96687	4.08596	25.03918	20.05973	0.00000	12.92543	
1.10000	1	0	22.45743	-6.67247	-108.93167	-22.84792	-10.65985	-6.86593	0.56423	8.99401	3.14764	1.27112	-9.34200	7.20548	0.61376	3.63323	8.70195	0.63543	20.42916	7.47058	41.26023	7.86741	24.06170	20.70514	6.95211	1.95777	1.43928	23.28099	62.80747	3.78933	21.87621	20.95154	0.00000	10.85697	
1.13333	1	0	22.45942	-6.67441	-108.92824	-22.84445	-10.65415	-6.86043	0.55513	9.01231	3.13496	1.40370	-9.64301	7.28557	0.50268	2.84455	13.85829	5.54449	15.54538	6.01362	40.64326	7.67248	30.87609	16.21700	14.46463	1.08751	1.10876	19.39274	60.01449	3.67971	19.50632	20.92015	0.00000	8.94721	
1.16667	1	0	22.46113	-6.67633	-108.92516	-22.84081	-10.64866	-6.85484	0.54997	9.03292	3.11584	1.57322	-9.87263	7.34570	0.41305	2.07798	15.88522	5.89005	14.84796	5.42438	41.88843	7.74067	35.10187	21.91195	12.66299	1.08448	1.28884	17.30226	58.07660	3.87969	20.66446	20.65432	0.00000	6.68494	
1.20000	1	0	22.46291	-6.67805	-108.92245	-22.83682	-10.64337	-6.84923	0.55108	9.05761	3.09060	1.72599	-10.05278	7.38156	0.33958	1.87521	16.96685	4.49131	14.90983	5.14127	43.00270	7.82951	36.90952	24.19852	10.37709	1.74540	1.71151	15.64412	57.21568	4.18708	23.16912	20.36803	0.00000	5.76915	
1.23333	1	0	22.46461	-6.67955	-108.91982	-22.83257	-10.63842	-6.84374	0.55015	9.07058	3.07843	1.81880	-10.14136	7.45550	0.27950	1.51508	18.13261	4.68099	12.92570	4.70749	43.04554	7.80038	38.97240	23.86842	14.23938	2.67392	2.49609	14.59929	56.68007	4.17758	22.83284	19.94721	0.00000	5.54444	
1.26667	1	0	22.46612	-6.68103	-108.91740	-22.82805	-10.63359	-6.83841	0.54900	9.08554	3.05820	1.92432	-10.25638	7.48980	0.23048	1.16921	18.21999	4.59627	12.96772	4.53837	42.37344	7.70769	40.93959	23.27130	18.25366	1.78049	2.05403	14.66881	56.50211	3.98456	21.48852	19.17850	0.00000	4.63952	
1.30000	1	0	22.46728	-6.68250	-108.91519	-22.82323	-10.62910	-6.83342	0.54757	9.09310	3.03745	1.99266	-10.34773	7.46833	0.19006	0.91706	17.45911	4.43329	14.72138	5.37754	42.41443	7.68440	44.45391	24.01104	21.54196	2.03976	2.35212	14.80702	56.97086	4.05937	20.89210	19.15389	0.00000	4.75286	
1.33333	1	0	22.46819	-6.68394	-108.91320	-22.81815	-10.62494	-6.82857	0.54583	9.10849	3.02199	2.09887	-10.44940	7.46090	0.15679	0.71772	17.77674	5.90209	17.89362	6.23874	44.13826	7.93031	45.54937	27.89502	15.46528	1.70090	2.08294	15.98928	59.08759	4.61710	27.15690	19.38461	0.00000	6.67157	
1.36667	1	0	22.46902	-6.68538	-108.91148	-22.81300	-10.62092	-6.82384	0.54157	9.12120	3.00739	2.13889	-10.46878	7.47510	0.12956	0.67757	17.45856	4.98869	20.95225	7.38917	45.80264	8.11468	43.27144	25.24009	10.67431	2.09573	2.42377	15.70584	58.53603	4.88161	28.06619	19.27081	0.00000	8.31751	
1.40000	1	0	22.46978	-6.68660	-108.90993	-22.80773	-10.61729	-6.81955	0.53232	9.13081	2.99524	2.14479	-10.48566	7.46859	0.10707	0.56056	16.92319	3.81525	21.81985	7.93214	47.32636	8.44579	41.89755	19.17907	6.83323	1.11637	1.26996	14.15263	57.19056	5.09659	28.96935	19.56772	0.00000	8.90972	
1.43333	1	0	22.47048	-6.68771	-108.90845	-22.80214	-10.61381	-6.81679	0.52451	9.15340	2.96876	2.20747	-10.48037	7.44395	0.08850	0.55007	18.01914	2.96990	17.80762	6.51616	50.36816	8.93014	43.39964	14.50918	6.43255	1.20017	1.32969	13.53985	57.99401	5.55894	30.74734	19.56888	0.00000	10.15417	
1.46667	1	0	22.47113	-6.68883	-108.90708	-22.79632	-10.61044	-6.81405	0.50737	9.16051	2.94776	2.20492	-10.38838	7.39649	0.07319	0.40979	18.13994	2.52898	16.37972	6.09619	54.69572	9.62384	43.94370	16.16089	6.87635	2.08094	2.36232	13.62940	58.62196	5.80585	31.69100	19.72251	0.00000	11.73437	
1.50000	1	0	22.47175	-6.68995	-108.90587	-22.79017	-10.60832	-6.81177	0.48621	9.16773	2.93039	2.15530	-10.20107	7.42661	0.06054	0.95514	17.87556	2.05402	14.95420	5.33524	58.90075	10.28342	45.16729	17.24691	6.69711	2.59888	2.94243	13.78804	59.19028	5.97205	31.92811	20.00890	0.00000	13.45706	
1.53333	1	0	22.47234	-6.69107	-108.90485	-22.78371	-10.60723	-6.80986	0.48025	9.18559	2.90776	2.13379	-10.04587	7.46601	0.05008	2.33060	17.52645	1.63592	14.45782	5.11587	61.00249	10.80954	47.39609	20.32260	8.80735	3.03457	3.19053	13.69526	59.12709	6.15614	32.05042	20.11136	0.00000	14.56416	
1.56667	1	0	22.47293	-6.69217	-108.90398	-22.77709	-10.60619	-6.80796	0.47695	9.18032	2.90619	1.98535	-9.83640	7.56895	0.04145	5.18050	15.75097	1.31531	12.95564	5.07190	60.21101	10.94081	48.33591	23.67399	10.56677	3.64526	3.63289	14.14707	59.36751	5.99243	31.48033	19.26044	0.00000	16.25760	
1.60000	1	0	22.47351	-6.69324	-108.90317	-22.77038	-10.60518	-6.80607	0.47444	9.17754	2.90377	1.80832	-9.55047	7.64657	0.03430	4.94023	16.39578	1.06251	11.13026	4.15648	58.39528	10.82476	45.32267	20.52112	13.43849	1.93046	1.89895	13.04468	56.71859	5.46725	25.74493	18.29408	0.00000	16.48710	
