========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430c
Licensed to:				 Erin Heerey
Export date/time:			01/05/2017 10:38:09
Number of frames:			8605

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	3	-12.62563	10.85532	-87.83485	-5.64429	11.31907	-0.39440	-1.18211	11.26120	4.41514	3.01235	-3.33453	-5.46170	-0.00022	0.00000	49.39935	36.32130	36.77574	28.28657	14.41786	4.81929	15.01822	9.75575	2.27237	0.26681	0.53312	5.08352	21.49578	22.28037	32.41146	7.05552	-0.00039	18.86793	
0.03333	1	3	-12.63413	10.85532	-87.83485	-5.63027	11.31879	-0.38873	-1.19005	11.25408	4.42298	2.96422	-3.30301	-5.39350	-0.00022	0.00000	50.59618	36.92816	34.65372	25.04647	14.49764	4.49910	12.41868	5.82648	1.40479	0.29347	0.57914	4.89941	21.45791	23.12489	31.91505	6.55006	-0.00039	18.94917	
0.06667	1	3	-12.64676	10.85674	-87.83485	-5.60876	11.31837	-0.38043	-1.20072	11.23863	4.43853	2.86217	-3.28462	-5.30425	-0.00022	0.00000	50.82773	37.14591	34.80866	24.73853	14.02967	4.28818	11.99693	4.13663	1.12785	0.55281	0.81913	4.95784	21.70729	24.45359	31.87028	6.40034	-0.00039	19.19204	
0.10000	1	3	-12.65902	10.85886	-87.83179	-5.58711	11.31794	-0.37259	-1.21437	11.22750	4.45090	2.78449	-3.25451	-5.23485	-0.00022	0.00000	51.08538	37.94859	39.09296	28.55635	14.10102	4.31107	14.27657	3.37441	0.86055	0.46786	0.82161	5.18687	22.23179	24.85007	31.91106	6.48681	-0.00039	19.85586	
0.13333	1	3	-12.67079	10.86097	-87.82685	-5.56586	11.31753	-0.36523	-1.22818	11.21897	4.46297	2.70846	-3.22324	-5.16731	-0.00022	0.00000	50.58951	37.82530	41.36415	30.70716	14.13149	4.25309	15.06729	4.07178	0.81820	0.23850	0.53498	5.31923	22.23725	24.52654	31.35479	6.61350	-0.00039	19.90233	
0.16667	1	3	-12.68196	10.86308	-87.82163	-5.54546	11.31713	-0.35841	-1.23472	11.21402	4.47706	2.63911	-3.26492	-5.14513	-0.00022	0.00000	49.97863	37.09825	42.69776	32.46804	13.57813	4.20111	17.92693	6.41286	1.22778	0.56291	0.83979	5.84594	22.33402	24.90609	31.39460	7.07923	-0.00039	21.06474	
0.20000	1	3	-12.69248	10.86524	-87.81638	-5.52631	11.31676	-0.35229	-1.24491	11.20681	4.49372	2.54504	-3.27342	-5.14249	-0.00022	0.00000	49.67391	37.54997	41.94561	32.34044	13.21003	4.08278	14.90835	7.16208	1.47333	0.40862	0.56843	5.59594	21.72159	24.41953	30.33271	7.59530	-0.00039	21.65463	
0.23333	1	3	-12.70334	10.86757	-87.80943	-5.50483	11.31634	-0.34448	-1.25111	11.20180	4.50151	2.46300	-3.27910	-5.17681	-0.00022	0.00000	50.74537	39.11564	39.34250	31.22939	12.90616	4.03810	12.27806	3.86482	1.09644	0.51511	0.73886	5.39200	21.51934	25.61183	29.92925	7.75533	-0.00039	22.24730	
0.26667	1	3	-12.71465	10.87056	-87.80071	-5.48121	11.31734	-0.33485	-1.25565	11.19836	4.49973	2.42847	-3.31617	-5.30417	-0.00022	0.00000	51.43098	40.55160	35.35049	28.67666	13.11320	4.11271	10.41247	2.15734	1.19666	0.39529	0.69447	5.28912	21.86028	25.26321	28.97982	7.74105	-0.00039	22.34188	
0.30000	1	3	-12.72603	10.87403	-87.79098	-5.45757	11.31954	-0.32471	-1.25983	11.18479	4.50183	2.36407	-3.33643	-5.45401	-0.00022	0.00000	50.96960	41.29898	33.93630	29.74109	12.31204	3.83422	6.06058	1.15191	0.84258	0.26615	0.59307	5.32549	22.44625	22.46025	25.98515	6.82145	-0.00039	22.27018	
0.33333	1	3	-12.73730	10.87655	-87.78065	-5.43527	11.32195	-0.31490	-1.25140	11.17866	4.49140	2.34256	-3.39708	-5.53069	-0.00022	0.00000	50.13366	41.05912	34.23521	30.18832	12.21744	3.87016	5.33043	1.28323	0.59577	0.52098	0.85199	5.60009	24.27706	21.08270	24.41288	5.56694	-0.00039	21.54995	
0.36667	1	3	-12.74825	10.87727	-87.77020	-5.41539	11.32444	-0.30596	-1.23776	11.17759	4.47459	2.33434	-3.46874	-5.58060	-0.00022	0.00000	48.84349	40.12831	36.87296	30.58904	12.47441	4.05032	6.52283	2.78944	0.78980	0.35393	0.53569	5.99800	25.98849	21.41332	26.50359	4.46347	-0.00039	20.95485	
0.40000	1	3	-12.75876	10.87776	-87.75993	-5.39880	11.32701	-0.29832	-1.23018	11.17669	4.45467	2.33220	-3.45198	-5.59437	-0.00022	0.00000	48.25275	39.86777	38.35651	30.68056	12.66411	4.27166	7.54768	6.59131	1.39034	0.39728	0.61516	6.11763	26.70186	21.62468	29.26875	3.63190	-0.00039	20.73929	
0.43333	1	3	-12.76867	10.87818	-87.75022	-5.38623	11.32956	-0.29230	-1.22545	11.17285	4.43292	2.27940	-3.42043	-5.58938	-0.00022	0.00000	48.34426	40.02899	39.38133	31.20342	12.66699	4.25866	8.98293	7.66843	1.53221	0.34616	0.55875	6.25934	27.19352	22.01917	31.47559	3.40175	-0.00039	20.73994	
0.46667	1	3	-12.77806	10.87854	-87.74131	-5.37793	11.33239	-0.28725	-1.22349	11.16750	4.41287	2.24199	-3.37588	-5.55808	-0.00022	0.00000	49.86023	40.64170	38.74730	29.58803	12.62353	4.22965	11.50376	7.73522	1.44855	0.42246	0.72482	6.49964	27.69267	23.63064	33.36158	3.63934	-0.00039	20.65154	
0.50000	1	3	-12.78688	10.87884	-87.73341	-5.37320	11.33447	-0.28658	-1.21812	11.16628	4.38746	2.23398	-3.34418	-5.49521	-0.00022	0.00000	52.08545	41.01252	35.97108	25.44124	12.74208	4.28543	11.39403	6.54092	1.41947	0.27632	0.47605	6.19824	27.22449	25.02319	33.79477	3.82012	-0.00039	19.94915	
0.53333	1	3	-12.79504	10.87908	-87.72657	-5.37283	11.33522	-0.28619	-1.20745	11.16913	4.36135	2.28037	-3.34667	-5.47905	-0.00022	0.00000	52.75864	41.03516	31.61172	21.87526	13.06096	4.51300	11.36060	7.24098	1.93634	0.30425	0.53731	5.77583	24.80219	25.80729	33.95037	4.18863	-0.00039	18.15148	
