========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430c
Licensed to:				 Erin Heerey
Export date/time:			27/04/2017 17:46:40
Number of frames:			9658

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	3	-9.50879	3.43461	-81.89766	0.09559	8.39275	-0.96331	0.77666	8.38628	1.96050	-0.36446	0.15700	1.11543	20.44538	28.76913	0.00000	-0.00012	14.51565	14.25736	5.05060	9.44323	51.92983	13.50370	5.30090	4.18519	4.70432	1.69188	1.56772	18.86633	20.71797	0.05063	3.30794	9.72975	
0.03333	1	3	-9.50879	3.43461	-81.89766	0.09559	8.39275	-0.97081	0.76516	8.38628	1.96050	-0.38881	0.22871	1.07287	19.83486	28.35426	0.00000	-0.00012	16.16035	16.40814	4.62277	8.81986	51.27547	8.88487	4.04311	2.68813	2.86572	1.73105	1.67100	22.27544	23.23924	0.04237	2.69802	10.37881	
0.06667	1	3	-9.50953	3.43461	-81.89766	0.09560	8.38907	-0.97845	0.75467	8.38628	1.96050	-0.47172	0.26757	1.03467	19.78986	28.45502	0.00000	-0.00012	17.25663	15.20873	4.56293	7.89238	50.90604	7.56212	3.68793	3.72676	3.59472	1.83868	1.77412	25.51902	24.02339	0.03509	2.22380	11.51745	
0.10000	1	3	-9.51054	3.43461	-81.89766	0.09560	8.38488	-0.98565	0.74806	8.38628	1.95530	-0.51188	0.28904	0.97889	20.52843	28.91718	0.00000	-0.00012	17.41627	15.32595	4.55248	7.77452	51.12845	8.26806	3.89323	3.81901	4.03561	1.82885	1.82856	27.18136	25.84106	0.02906	1.91301	12.31549	
0.13333	1	3	-9.51155	3.43461	-81.89766	0.09560	8.38057	-0.99226	0.74579	8.38628	1.94909	-0.60157	0.29010	0.90620	20.84699	29.42483	0.00000	-0.00012	18.30364	17.60125	4.29376	8.16981	50.11989	7.01530	2.28698	3.19646	3.61430	1.86605	1.76552	28.75031	27.69296	0.02406	2.15392	12.71646	
0.16667	1	3	-9.51257	3.43461	-81.89766	0.09560	8.37600	-0.99815	0.74470	8.38628	1.93760	-0.64567	0.32184	0.86109	19.72532	29.56761	0.00000	-0.00012	17.74426	16.83617	4.25851	8.02372	51.06383	9.35331	2.72309	5.02162	5.45801	1.92526	1.90182	27.67129	26.88589	0.01992	2.17160	13.50956	
0.20000	1	3	-9.51360	3.43461	-81.89732	0.09560	8.37066	-1.00330	0.74382	8.38700	1.93171	-0.70405	0.32666	0.82525	18.62981	28.78391	0.00000	-0.00012	17.91954	17.27497	3.64929	6.66533	51.29067	7.51211	3.20341	7.40210	7.80163	1.97964	1.90775	28.39499	26.72191	0.01651	2.11232	14.18060	
0.23333	1	3	-9.51463	3.43461	-81.89697	0.09560	8.36449	-1.00393	0.74356	8.38797	1.92358	-0.73580	0.36225	0.82396	16.94605	28.22924	0.00000	-0.00012	21.00132	19.50611	3.54020	6.13303	50.53554	5.01753	2.05758	8.67976	9.00253	2.13703	2.14447	28.96117	26.84986	0.01363	2.21472	15.65025	
0.26667	1	3	-9.51566	3.43461	-81.89661	0.09560	8.35777	-1.00434	0.74623	8.38861	1.91733	-0.77762	0.39339	0.82685	15.52834	28.01354	0.00000	-0.00012	22.82927	20.88656	3.48487	5.21645	50.14996	6.26740	2.36032	4.74825	5.18838	2.15791	2.10681	28.69051	26.14177	0.01170	1.90694	17.35980	
0.30000	1	3	-9.51669	3.43461	-81.89626	0.09152	8.35063	-1.00397	0.76046	8.38835	1.91774	-0.83185	0.37003	0.80916	14.72528	27.86550	0.00000	-0.00012	22.15350	20.23002	3.45137	5.00298	50.09203	7.86596	2.87980	4.73104	4.98806	2.38127	2.16544	27.63395	24.45217	0.00988	1.72831	19.01822	
