========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430b
Licensed to:				 Erin Heerey
Export date/time:			26/04/2017 11:48:44
Number of frames:			13024

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	2	-1.57567	-3.53311	-93.83224	-17.81001	8.21247	1.50918	0.13894	7.74312	0.87461	12.51996	-13.34651	9.95894	4.40696	0.00191	0.06790	7.62100	40.79854	48.58677	17.10861	6.05933	0.55097	1.35145	4.49218	73.65441	72.79442	83.11475	95.05220	5.46555	24.55496	5.58030	-0.00000	2.95736	
0.03333	1	2	-1.57567	-3.53311	-93.83224	-17.79893	8.21196	1.50751	0.13251	7.74312	0.86619	12.50651	-13.36102	9.91352	5.51325	0.00191	0.05617	7.61599	42.40185	49.79026	17.47828	6.06493	0.70102	1.46875	2.68027	71.16774	69.81525	83.01851	95.42165	5.60517	25.13895	5.45008	-0.00000	3.03321	
0.06667	1	2	-1.57567	-3.53311	-93.83224	-17.78860	8.21148	1.50594	0.12657	7.74312	0.85538	12.44490	-13.31524	9.87151	5.13130	0.00191	0.04649	7.70909	42.39571	51.04663	17.77388	6.18044	1.18524	1.54554	2.54022	74.99744	73.03372	82.93275	95.39481	5.73702	25.53032	6.16849	-0.00000	3.46475	
0.10000	1	2	-1.57567	-3.53311	-93.83224	-17.77636	8.20724	1.50294	0.11412	7.74297	0.85011	12.44265	-13.25822	9.83152	5.07184	0.00191	0.03847	8.17094	43.39751	51.67790	17.44844	6.10858	1.67067	1.32998	2.45920	71.61837	70.09455	82.70347	95.35595	5.71575	25.38500	6.19611	-0.00000	3.44269	
0.13333	1	2	-1.57567	-3.53311	-93.83323	-17.76089	8.20252	1.49936	0.10561	7.75482	0.83222	12.48559	-13.22700	9.79037	4.87979	0.00191	0.03185	8.19028	43.03583	51.37497	17.82614	6.30434	0.71806	1.71029	2.86516	69.48241	68.23390	82.47253	95.27249	5.70491	25.17294	6.30026	-0.00000	3.78668	
0.16667	1	2	-1.57567	-3.53311	-93.83521	-17.74085	8.19750	1.49830	0.10262	7.76522	0.81795	12.50940	-13.23783	9.75346	4.55855	0.00191	0.02636	8.07012	40.65634	48.02192	18.02169	6.40469	1.09575	1.21463	3.90133	70.34225	68.83187	81.66701	95.06236	5.69676	25.55195	5.80864	-0.00000	3.43699	
0.20000	1	2	-1.57567	-3.53311	-93.83724	-17.71605	8.19211	1.49696	0.09806	7.76966	0.80558	12.48200	-13.20762	9.72411	4.59682	0.00191	0.02335	7.98036	41.41034	48.27861	18.85143	6.48785	0.80583	1.46758	3.30579	75.37585	72.90162	81.77970	95.39700	5.70206	25.65981	5.34225	-0.00000	3.17984	
0.23333	1	2	-1.57814	-3.53311	-93.83936	-17.68611	8.18660	1.49492	0.08403	7.78491	0.78612	12.49936	-13.07325	9.80648	3.52036	0.00191	0.22435	6.21913	59.58659	63.88468	21.13171	6.60770	0.69027	2.47461	5.99425	91.28934	90.37986	81.86585	95.45742	5.31834	22.33857	5.61758	-0.00000	4.49052	
0.26667	1	2	-1.58101	-3.53311	-93.84157	-17.65905	8.18112	1.49297	0.07166	7.79840	0.76885	12.51456	-12.95455	9.87912	2.73535	0.00451	0.38355	4.99293	64.90251	68.67303	22.67109	6.70462	0.63803	2.90060	7.04275	95.93003	95.36719	81.93912	95.50871	5.02394	20.22336	5.83587	-0.00000	5.03844	
0.30000	1	2	-1.58397	-3.53434	-93.84387	-17.61847	8.17448	1.48861	0.07178	7.80535	0.75504	12.50010	-12.90318	9.94860	2.14903	0.57269	0.37759	3.74374	79.40540	81.30499	22.92599	6.73496	0.44556	2.79184	3.16212	95.68890	94.36011	82.48071	95.61789	5.49330	23.29632	5.91912	-0.00000	4.43442	
