========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430c
Licensed to:				 Erin Heerey
Export date/time:			01/05/2017 17:19:50
Number of frames:			9187

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	2	-13.89378	1.93371	-78.10632	4.45063	10.05742	-4.77782	1.19659	11.20267	4.09437	-3.81286	2.46635	4.63457	15.11218	21.84286	0.00000	0.00000	3.50423	2.03591	2.38957	3.92496	3.05708	8.13985	2.95422	2.32026	1.51593	12.92916	16.89037	3.01658	2.15807	0.00000	6.21200	50.82017	
0.03333	1	2	-13.89378	1.93371	-78.10187	4.43212	10.06122	-4.75408	1.20303	11.19797	4.11231	-3.77396	2.45869	4.61553	16.68937	22.22484	0.00000	0.00000	5.28186	3.42790	2.33722	3.85566	1.55243	6.15133	2.88584	2.15268	1.62989	12.74458	17.22674	3.16785	2.32458	0.00000	6.66324	51.52832	
0.06667	1	2	-13.89378	1.93371	-78.09637	4.40843	10.06698	-4.72320	1.20734	11.18946	4.13782	-3.72871	2.51121	4.63451	17.46625	22.33486	0.00000	0.00000	6.31368	3.53921	2.38178	3.86435	1.71205	4.95761	3.01645	3.00305	2.42201	12.49100	17.68210	3.25901	2.37772	0.00000	7.29986	52.34416	
0.10000	1	2	-13.89067	1.93160	-78.09121	4.38565	10.07381	-4.69247	1.21477	11.18419	4.16222	-3.69146	2.51025	4.61218	17.74190	21.38785	0.00000	0.00000	6.47659	3.87406	2.38570	4.14015	1.17734	6.01123	2.47461	1.69078	1.37390	12.43107	17.21549	3.00212	2.33518	0.00000	7.89583	52.13754	
0.13333	1	2	-13.88683	1.92883	-78.08632	4.36441	10.08155	-4.66245	1.22417	11.17989	4.19379	-3.64717	2.51295	4.58950	18.11956	21.32483	0.00000	0.00000	6.32588	3.78230	2.50052	4.44946	2.16610	7.85240	2.43293	1.74022	1.49880	12.85213	16.50708	3.05549	2.35813	0.00000	7.88086	52.04956	
0.16667	1	2	-13.88314	1.92608	-78.08163	4.34506	10.09015	-4.63320	1.23715	11.17286	4.22736	-3.60546	2.51195	4.59691	16.13290	20.19843	0.00000	0.00000	4.71622	2.73735	2.34874	3.94185	3.43400	7.83796	2.48017	2.40168	1.89008	13.13632	16.33033	2.77301	2.21579	0.00000	7.88564	51.50211	
0.20000	1	2	-13.87962	1.92332	-78.07704	4.32779	10.09957	-4.60460	1.25590	11.16643	4.25845	-3.54009	2.44747	4.57457	15.93694	20.03349	0.00000	0.00000	4.26378	2.91468	2.36199	3.70841	4.72618	6.87185	2.49325	3.69514	2.53046	13.19932	16.30144	2.80705	2.20616	0.00000	8.04208	51.19287	
0.23333	1	2	-13.87636	1.92054	-78.07247	4.31273	10.10985	-4.57661	1.27554	11.16015	4.29120	-3.46974	2.40268	4.54650	15.26276	20.20401	0.00000	0.00000	4.09956	2.19973	2.38200	3.84089	6.81560	6.80033	2.88246	4.73492	3.06929	12.98164	15.92009	3.04411	2.31746	0.00000	8.62311	50.94905	
0.26667	1	2	-13.87318	1.91769	-78.06786	4.29997	10.12090	-4.54939	1.29098	11.14765	4.32321	-3.40264	2.41583	4.51230	15.18463	21.13864	0.00000	0.00000	3.32391	1.88993	2.36490	3.45829	8.60227	5.96870	2.57164	5.82597	3.74371	12.72491	15.52057	3.26851	2.34474	0.00000	8.82695	50.72421	
0.30000	1	2	-13.87008	1.91483	-78.06316	4.28930	10.13284	-4.52274	1.30623	11.14021	4.34317	-3.24750	2.41516	4.48654	15.32930	21.98365	0.00000	0.00000	4.23510	2.62453	2.41531	3.36520	9.83785	7.71924	2.74911	8.71488	5.37052	13.28195	15.62407	3.40407	2.40566	0.00000	8.56924	51.83009	
0.33333	1	2	-13.86719	1.91196	-78.05848	4.28073	10.14538	-4.49730	1.32264	11.12839	4.36944	-3.13022	2.32664	4.42498	14.52585	22.05923	0.00000	0.00000	7.55317	5.02061	2.29049	2.99431	8.58788	8.14223	2.47266	4.87120	3.00199	12.76269	14.43333	3.41593	2.22360	0.00000	7.93103	52.27519	
0.36667	1	2	-13.86436	1.90903	-78.05367	4.27407	10.15863	-4.47257	1.34256	11.11425	4.38878	-2.97629	2.18398	4.36463	13.49214	21.76366	0.00000	0.00000	7.27880	3.92577	2.18376	2.83746	8.51560	7.61152	1.79665	2.65108	1.91765	11.67338	12.96072	3.05704	2.08680	0.00000	7.37382	50.66977	
0.40000	1	2	-13.86155	1.90604	-78.04877	4.26869	10.17238	-4.44857	1.35873	11.09661	4.41184	-2.82434	2.04949	4.30082	13.71157	22.13078	0.00000	0.00000	6.25533	3.45669	2.17226	2.83589	10.77132	8.58919	2.32798	4.43840	3.22098	13.25583	13.81094	2.98791	2.22158	0.00000	6.96295	50.86583	
0.43333	1	2	-13.85882	1.90304	-78.04382	4.26784	10.18653	-4.42600	1.37274	11.07958	4.43942	-2.67447	1.93237	4.24332	14.33863	22.36629	0.00000	0.00000	5.50552	2.94355	2.13193	2.71198	11.14051	11.34298	3.19903	5.06375	3.17543	15.06997	14.23956	2.92938	2.10230	0.00000	6.32540	50.29841	
0.46667	1	2	-13.85621	1.90002	-78.03879	4.26762	10.20092	-4.40416	1.37971	11.06339	4.46539	-2.51352	1.89335	4.23406	15.28936	23.18146	0.00000	0.00000	6.21237	3.65840	2.03456	2.66674	10.76370	10.79329	2.76536	6.21291	3.76727	15.41073	14.36793	2.98948	2.18902	0.00000	6.03066	49.89058	
0.50000	1	2	-13.85362	1.89694	-78.03362	4.26762	10.21544	-4.38277	1.38363	11.04841	4.49305	-2.37547	1.85513	4.21417	14.55897	22.69388	0.00000	0.00000	5.97925	3.48505	1.98878	2.58020	9.88418	6.11300	1.90409	6.63974	3.93590	14.79146	14.02741	3.02865	2.05529	0.00000	5.55363	49.85488	
0.53333	1	2	-13.85104	1.89376	-78.02832	4.26783	10.22994	-4.36182	1.38946	11.04287	4.51401	-2.18877	1.79835	4.17899	14.06651	21.95720	0.00000	0.00000	5.30190	3.20283	1.97566	2.52801	6.76170	3.69462	1.48655	3.32382	1.97270	13.68450	13.75248	2.86272	2.01829	0.00000	5.61741	49.96515	
0.56667	1	2	-13.84848	1.89053	-78.02281	4.26824	10.24428	-4.34121	1.38983	11.03962	4.53144	-1.95134	1.75198	4.15785	14.09069	21.72988	0.00000	0.00000	5.52589	3.57268	1.93920	2.65656	4.57208	3.62608	1.21372	2.22478	1.66311	11.67184	12.86629	2.90407	2.00150	0.00000	6.27116	49.41298	
